cutoff_week,n_train,model,pr_auc
28,844,Dummy,0.4745741883156782
28,844,LightGBM,0.5798471365861031
28,844,Logistic Regression,0.48959323052769804
28,844,Random Forest,0.5932840893369703
28,844,XGBoost,0.5713991934013384
36,7480,Dummy,0.4745741883156782
36,7480,LightGBM,0.6151142550104025
36,7480,Logistic Regression,0.6217834335811917
36,7480,Random Forest,0.623119757060623
36,7480,XGBoost,0.5951772756044813
44,16736,Dummy,0.4745741883156782
44,16736,LightGBM,0.6234643614730178
44,16736,Logistic Regression,0.6477060189381796
44,16736,Random Forest,0.6424580006110632
44,16736,XGBoost,0.6166800741815319
52,21257,Dummy,0.4745741883156782
52,21257,LightGBM,0.6289261698681006
52,21257,Logistic Regression,0.6509858662047885
52,21257,Random Forest,0.6379441569737531
52,21257,XGBoost,0.6294641677569097
60,25856,Dummy,0.4745741883156782
60,25856,LightGBM,0.6300233040037679
60,25856,Logistic Regression,0.6554102940081791
60,25856,Random Forest,0.633698577257354
60,25856,XGBoost,0.6337925844983793
68,34435,Dummy,0.4745741883156782
68,34435,LightGBM,0.6421225171541525
68,34435,Logistic Regression,0.6550968167288895
68,34435,Random Forest,0.6482142826285422
68,34435,XGBoost,0.6446476787202233
76,44608,Dummy,0.4745741883156782
76,44608,LightGBM,0.6512149070952701
76,44608,Logistic Regression,0.6568873466229853
76,44608,Random Forest,0.6656447191152877
76,44608,XGBoost,0.6511336756299129
84,53615,Dummy,0.4745741883156782
84,53615,LightGBM,0.6603406462399832
84,53615,Logistic Regression,0.6540148629560836
84,53615,Random Forest,0.6568388921478334
84,53615,XGBoost,0.6634921245359886
92,63001,Dummy,0.4745741883156782
92,63001,LightGBM,0.6775613843439521
92,63001,Logistic Regression,0.6566158974065325
92,63001,Random Forest,0.669630535481085
92,63001,XGBoost,0.6756340784334537
100,73578,Dummy,0.4745741883156782
100,73578,LightGBM,0.6790998089801272
100,73578,Logistic Regression,0.6585793554560382
100,73578,Random Forest,0.6705266465005477
100,73578,XGBoost,0.6659679497285623
