window,cutoff_week,n_train,model,pr_auc,pr_auc_sd,brier,n_test,ci_low,ci_high
cumulative,28,844,Dummy,0.46510020732550106,0.0,0.46510020732550106,2894,,
cumulative,28,844,LightGBM,0.8989044960472211,0.0,0.16117890358031567,2894,0.8869047884884395,0.9105778526349143
cumulative,28,844,Logistic Regression,0.905188537589146,0.0,0.1613718150782166,2894,0.8894930075521882,0.9187645913899117
cumulative,28,844,Random Forest,0.9163266501912593,0.00393437979966038,0.11743075354823777,2894,,
cumulative,28,844,XGBoost,0.9070870633950268,0.0,0.13923797011375427,2894,,
cumulative,29,1537,Dummy,0.4615612941525675,0.0,0.4615612941525675,3369,,
cumulative,29,1537,LightGBM,0.8695437885313243,0.0,0.1934000994880776,3369,0.855874815421944,0.8821442360969659
cumulative,29,1537,Logistic Regression,0.8022622613133463,0.0,0.1524806430517965,3369,0.7789400599734155,0.8264859373577208
cumulative,29,1537,Random Forest,0.873090439248667,0.005382804762918491,0.14585499242820443,3369,,
cumulative,29,1537,XGBoost,0.9026179912217311,0.0,0.14532704651355743,3369,,
cumulative,30,2307,Dummy,0.42149005639655684,0.0,0.42149005639655684,3369,,
cumulative,30,2307,LightGBM,0.9024437833665807,0.0,0.12344644481213808,3369,0.8911139078453304,0.9135812107080141
cumulative,30,2307,Logistic Regression,0.8085893237504593,0.0,0.2140831321954911,3369,0.7840605265301849,0.8327375689829767
cumulative,30,2307,Random Forest,0.8717985675714722,0.002826900740805294,0.13793334001591004,3369,,
cumulative,30,2307,XGBoost,0.902352878262619,0.0,0.12447291612625122,3369,,
cumulative,31,2886,Dummy,0.409767050238563,0.0,0.409767050238563,3563,,
cumulative,31,2886,LightGBM,0.9094843854810749,0.0,0.12377725193816351,3563,0.898970671959029,0.9195313819463408
cumulative,31,2886,Logistic Regression,0.8150273834839964,0.0,0.1419696411500059,3563,0.7924216333769393,0.8390097703679981
cumulative,31,2886,Random Forest,0.9080578970928679,0.0033850589137701995,0.1129162873538447,3563,,
cumulative,31,2886,XGBoost,0.9098175733849301,0.0,0.12646040320396423,3563,,
cumulative,32,3738,Dummy,0.40032068412613575,0.0,0.40032068412613575,3742,,
cumulative,32,3738,LightGBM,0.9109979157168162,0.0,0.10944761644820906,3742,0.9006919027175732,0.9213833167331598
cumulative,32,3738,Logistic Regression,0.872017612192839,0.0,0.13161575648609686,3742,0.8594061060134542,0.8848925156440609
cumulative,32,3738,Random Forest,0.9077132795154373,0.004834443359083296,0.10894088946557595,3742,,
cumulative,32,3738,XGBoost,0.9106629469448113,0.0,0.10926531255245209,3742,,
cumulative,33,4906,Dummy,0.3726389638424177,0.0,0.3726389638424177,3706,,
cumulative,33,4906,LightGBM,0.9061565523640972,0.0,0.1146809041378391,3706,0.8937122247130133,0.9164449492479638
cumulative,33,4906,Logistic Regression,0.872211021484732,0.0,0.12019484635171103,3706,0.8585467202045123,0.8843071355548063
cumulative,33,4906,Random Forest,0.8962688712227641,0.0018853700822059557,0.1063263618765307,3706,,
cumulative,33,4906,XGBoost,0.9011573767711095,0.0,0.1185763031244278,3706,,
cumulative,34,5676,Dummy,0.4030647782679359,0.0,0.4030647782679359,4307,,
cumulative,34,5676,LightGBM,0.932568290061894,0.0,0.10405200135700159,4307,0.9247383996999398,0.9398627974695541
cumulative,34,5676,Logistic Regression,0.8623471245836741,0.0,0.14119005214230074,4307,0.8492605600388722,0.8748434785823611
cumulative,34,5676,Random Forest,0.9133421450398528,0.003617854241569211,0.10459096988787779,4307,,
cumulative,34,5676,XGBoost,0.9248892670182457,0.0,0.10494644194841385,4307,,
cumulative,35,6449,Dummy,0.40781314592806944,0.0,0.40781314592806944,4838,,
cumulative,35,6449,LightGBM,0.9365924575012338,0.0,0.08997860329186454,4838,0.929447109411924,0.9434197107290735
cumulative,35,6449,Logistic Regression,0.8855010895409935,0.0,0.13537239347262528,4838,0.8751721128733038,0.895693850046338
cumulative,35,6449,Random Forest,0.9263525438879782,0.0031667552040624517,0.10152609965948396,4838,,
cumulative,35,6449,XGBoost,0.9375113372485432,0.0,0.09438813477754593,4838,,
cumulative,36,7480,Dummy,0.40827300930713545,0.0,0.40827300930713545,4835,,
cumulative,36,7480,LightGBM,0.9519858604591019,0.0,0.07869143899773956,4835,0.9459610784892686,0.9577376795741152
cumulative,36,7480,Logistic Regression,0.9073990371951227,0.0,0.12863676721323178,4835,0.8978162367060458,0.9166380944141512
cumulative,36,7480,Random Forest,0.9397299907002815,0.005867836829779775,0.09214138082803026,4835,,
cumulative,36,7480,XGBoost,0.9456200581913534,0.0,0.08881376683712006,4835,,
cumulative,37,8612,Dummy,0.42241379310344823,0.0,0.42241379310344823,5104,,
cumulative,37,8612,LightGBM,0.9506515215160984,0.0,0.08261784375980717,5104,0.9442147693704117,0.9561100066426834
cumulative,37,8612,Logistic Regression,0.8528879627725822,0.0,0.1485809177064764,5104,0.841441909856963,0.8646824070126565
cumulative,37,8612,Random Forest,0.9575105195635771,0.0002853428389289602,0.094933840867854,5104,,
cumulative,37,8612,XGBoost,0.9588558497044787,0.0,0.07418250292539597,5104,,
cumulative,38,9983,Dummy,0.401816347124117,0.0,0.401816347124117,4955,,
cumulative,38,9983,LightGBM,0.9423496558126914,0.0,0.08123083218612077,4955,0.9358041949534581,0.9494488346653275
cumulative,38,9983,Logistic Regression,0.9141061129136149,0.0,0.10661207775198477,4955,0.9047870675077279,0.9226129160887517
cumulative,38,9983,Random Forest,0.9426679833215476,0.005041685407427804,0.09259857666563857,4955,,
cumulative,38,9983,XGBoost,0.9329279905770244,0.0,0.0971342995762825,4955,,
cumulative,39,11287,Dummy,0.37049967270346934,0.0,0.37049967270346934,4583,,
cumulative,39,11287,LightGBM,0.934406478017824,0.0,0.0817507736972257,4583,0.9262599435240577,0.9419259082197359
cumulative,39,11287,Logistic Regression,0.8684436206181635,0.0,0.12496865298225086,4583,0.8537079866981948,0.8823654283878406
cumulative,39,11287,Random Forest,0.9390411267636435,0.0010572680876444797,0.08979572386014505,4583,,
cumulative,39,11287,XGBoost,0.9329694323296299,0.0,0.08455146849155426,4583,,
cumulative,40,12315,Dummy,0.34517077584256955,0.0,0.34517077584256955,4421,,
cumulative,40,12315,LightGBM,0.9230362488904461,0.0,0.08404223812842167,4421,0.9140550096953725,0.9312780361819558
cumulative,40,12315,Logistic Regression,0.8414285409758947,0.0,0.12959389817867342,4421,0.8250730377927047,0.8570320150676152
cumulative,40,12315,Random Forest,0.9173678851337678,0.003956791844465201,0.09344578594174051,4421,,
cumulative,40,12315,XGBoost,0.9356701213578956,0.0,0.07587801665067673,4421,,
cumulative,41,13716,Dummy,0.29424964936886394,0.0,0.29424964936886394,3565,,
cumulative,41,13716,LightGBM,0.9356555594638242,0.0,0.0633978286155839,3565,0.925090688902343,0.9457610955610289
cumulative,41,13716,Logistic Regression,0.8401860369008408,0.0,0.10223732793972075,3565,0.8156348365973871,0.8654618787035431
cumulative,41,13716,Random Forest,0.9254880492169688,0.002662126886741744,0.08164868376567842,3565,,
cumulative,41,13716,XGBoost,0.9411459521474729,0.0,0.06005118042230606,3565,,
cumulative,42,14938,Dummy,0.2655571635311143,0.0,0.2655571635311143,2764,,
cumulative,42,14938,LightGBM,0.909103267185919,0.0,0.06981260081388323,2764,0.8935696652698465,0.9244455911071018
cumulative,42,14938,Logistic Regression,0.8499699649288481,0.0,0.10297124039439881,2764,0.8230111366629547,0.8741493948045472
cumulative,42,14938,Random Forest,0.9169241090834138,0.0032745094952414838,0.08083506396341798,2764,,
cumulative,42,14938,XGBoost,0.9125415319894569,0.0,0.06938774138689041,2764,,
cumulative,43,15870,Dummy,0.23608903020667726,0.0,0.23608903020667726,2516,,
cumulative,43,15870,LightGBM,0.8730424231187383,0.0,0.07544512528181566,2516,0.8525987813506543,0.8920362637508331
cumulative,43,15870,Logistic Regression,0.8333757794152342,0.0,0.10113810469715452,2516,0.8063065828979458,0.8573655544977306
cumulative,43,15870,Random Forest,0.8665745273519175,0.007415364764128915,0.08222508060807755,2516,,
cumulative,43,15870,XGBoost,0.8680492115658464,0.0,0.07593365013599396,2516,,
cumulative,44,16736,Dummy,0.20848056537102475,0.0,0.20848056537102475,2264,,
cumulative,44,16736,LightGBM,0.8364176780783491,0.0,0.08055526475165055,2264,0.8090273570866368,0.8623226266503202
cumulative,44,16736,Logistic Regression,0.7794714349066286,0.0,0.09259390261920075,2264,0.7419453144894423,0.8110335324274697
cumulative,44,16736,Random Forest,0.8641791261130108,0.009828810383415789,0.0840141462847509,2264,,
cumulative,44,16736,XGBoost,0.8016395083627206,0.0,0.09327361732721329,2264,,
cumulative,45,17281,Dummy,0.25585023400936036,0.0,0.25585023400936036,2564,,
cumulative,45,17281,LightGBM,0.8972467067293302,0.0,0.07799922282961992,2564,0.8771770560179264,0.9138057124673311
cumulative,45,17281,Logistic Regression,0.8196980530817243,0.0,0.09664499338835984,2564,0.7921452060627535,0.8451201122042106
cumulative,45,17281,Random Forest,0.8924404310608699,0.005537009080181563,0.08971606628810529,2564,,
cumulative,45,17281,XGBoost,0.8646686672055061,0.0,0.09679456055164337,2564,,
cumulative,46,17702,Dummy,0.2938181818181818,0.0,0.2938181818181818,2750,,
cumulative,46,17702,LightGBM,0.9457163471015471,0.0,0.06134259922494508,2750,0.9342008251718072,0.9557285964059017
cumulative,46,17702,Logistic Regression,0.8955055362024988,0.0,0.0866058168652344,2750,0.8746997577868565,0.9155251515871237
cumulative,46,17702,Random Forest,0.939022686493717,0.002025968471063156,0.07593922718177597,2750,,
cumulative,46,17702,XGBoost,0.9499716499136349,0.0,0.05552242696285248,2750,,
cumulative,47,18386,Dummy,0.32003359932801345,0.0,0.32003359932801345,2381,,
cumulative,47,18386,LightGBM,0.9618929471938675,0.0,0.05629481465225159,2381,0.952287067384058,0.9710175396923211
cumulative,47,18386,Logistic Regression,0.8997800621747886,0.0,0.08385857431936329,2381,0.8778143761192787,0.9194992974399857
cumulative,47,18386,Random Forest,0.9625629943371518,0.0036543888264358366,0.07702925869108636,2381,,
cumulative,47,18386,XGBoost,0.9554982304299428,0.0,0.06027820333838463,2381,,
cumulative,48,19000,Dummy,0.3380593708462561,0.0,0.3380593708462561,2257,,
cumulative,48,19000,LightGBM,0.9653788045693138,0.0,0.048732509913152484,2257,0.9566138737411077,0.9736933758464521
cumulative,48,19000,Logistic Regression,0.9266450167790424,0.0,0.07378359208632365,2257,0.9086268941191473,0.9414514730821587
cumulative,48,19000,Random Forest,0.9569507375409732,0.007791710909564282,0.0728032046652738,2257,,
