scenario,cost_ratio,K,E_profit,P_walk,marginal,k_star_curve,k_star_theory,adr,exp_noshow,cohort_size,mode,split
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,0,0.0,0.0,,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,1,108.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,2,216.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,3,324.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,4,432.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,5,540.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,6,648.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,7,756.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,8,864.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,9,972.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,10,1080.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,11,1188.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
"낙관(walk 0.5×ADR, 협상 굿윌 하단)",0.5,12,1296.0,0.0,108.0,41,41,108.0,39.97,162,daily_cohort,test
